-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 03/31/2021 
Location: Latitude  33.9731   Longitude -118.2487 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 395.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
TS                    MERRA-2 Earth Skin Temperature (C) 
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,T2M,TS,QV2M,RH2M,PRECTOTCORR,WS10M,WS50M
2021,1,1,3.57,3.57,2.57,11.42,10.68,3.66,44.25,0.0,3.91,5.8
2021,1,2,3.16,3.45,1.3,11.7,10.68,5.31,62.25,0.0,1.88,2.41
2021,1,3,2.55,3.32,0.94,11.15,10.57,5.43,64.75,0.0,1.38,1.87
2021,1,4,2.8,3.39,1.4,11.94,11.07,5.98,68.75,0.0,1.93,2.36
2021,1,5,2.35,3.55,2.02,11.8,11.13,5.31,64.25,0.0,3.15,4.59
2021,1,6,3.14,3.51,1.68,14.52,13.11,4.52,43.88,0.0,2.78,4.22
2021,1,7,2.46,3.49,2.14,13.65,12.06,4.33,44.94,0.0,3.45,5.3
2021,1,8,2.87,3.54,2.58,13.7,12.68,3.85,40.19,0.0,4.0,6.14
2021,1,9,3.59,3.66,3.58,12.58,11.71,3.48,40.25,0.0,5.39,7.9
2021,1,10,3.05,3.51,2.39,12.28,11.55,3.6,40.88,0.0,3.65,5.49
2021,1,11,3.73,3.72,2.29,12.72,11.84,3.72,41.5,0.0,3.52,5.37
2021,1,12,3.21,3.67,1.55,12.75,11.28,3.91,42.88,0.0,2.64,3.98
2021,1,13,2.95,3.68,1.84,14.73,13.27,3.54,35.19,0.0,3.08,4.91
2021,1,14,3.81,3.8,2.8,18.61,16.74,4.94,37.81,0.0,4.53,7.4
2021,1,15,3.95,3.96,3.11,19.1,16.94,4.09,31.38,0.0,4.95,7.77
2021,1,16,3.72,3.77,3.18,19.64,17.39,4.64,34.25,0.0,5.0,7.87
2021,1,17,3.89,3.88,2.32,18.61,16.72,4.21,32.31,0.0,3.57,5.55
2021,1,18,3.43,3.78,1.79,16.65,14.55,4.33,37.06,0.0,3.0,4.36
2021,1,19,3.07,3.76,6.25,12.39,11.76,4.15,45.31,0.02,8.8,11.76
2021,1,20,3.79,3.78,3.98,14.98,14.22,5.62,52.31,0.03,5.78,8.06
2021,1,21,3.89,3.88,1.73,13.87,14.07,7.39,74.56,0.01,2.68,3.77
2021,1,22,3.35,3.94,2.72,11.55,12.54,7.14,81.88,0.39,3.72,4.62
2021,1,23,1.88,3.85,1.53,8.77,10.03,5.55,76.31,5.84,2.01,2.48
2021,1,24,3.87,3.98,2.89,8.3,9.52,5.0,73.19,2.36,3.95,5.2
2021,1,25,3.11,4.05,5.21,6.62,7.07,4.33,69.25,3.77,7.0,9.36
2021,1,26,4.16,4.17,2.39,5.93,6.99,3.72,66.12,0.13,3.43,4.69
2021,1,27,2.84,4.0,3.16,8.25,8.57,5.43,79.19,1.29,4.45,5.92
2021,1,28,3.21,3.91,3.94,10.12,10.37,6.16,76.69,28.63,5.52,7.0
2021,1,29,1.87,4.2,1.91,7.91,7.6,5.8,84.75,9.0,2.6,3.29
2021,1,30,4.24,4.25,1.63,8.81,9.28,4.46,65.69,0.02,2.42,3.3
2021,1,31,3.09,4.23,2.0,12.48,11.65,4.39,48.5,0.0,3.15,4.91
2021,2,1,2.07,3.95,1.07,14.33,12.44,5.62,53.75,0.0,1.79,2.72
2021,2,2,3.89,4.25,1.3,14.74,12.77,6.23,59.88,0.0,1.88,2.43
2021,2,3,3.96,4.43,2.12,13.01,12.52,6.35,68.5,0.0,3.21,4.7
2021,2,4,4.3,4.47,2.05,10.91,10.95,4.52,57.56,0.0,3.09,4.42
2021,2,5,4.64,4.63,1.94,12.76,12.05,4.33,48.69,0.0,2.93,4.17
2021,2,6,4.47,4.65,1.8,15.15,13.54,4.27,42.12,0.0,2.77,4.22
2021,2,7,3.71,4.57,1.26,14.24,12.62,4.94,48.62,0.0,1.91,2.54
2021,2,8,3.13,4.6,1.6,11.51,11.45,5.49,66.12,0.0,2.16,2.52
2021,2,9,2.07,4.4,1.16,9.86,10.75,5.92,77.5,0.01,1.59,1.98
2021,2,10,4.29,4.49,1.41,11.45,12.54,6.65,79.31,0.02,1.87,2.25
2021,2,11,3.95,4.55,1.49,12.35,12.77,7.08,79.75,0.03,2.12,2.62
2021,2,12,4.86,4.87,2.94,12.39,12.58,6.29,71.12,0.9,4.07,5.47
2021,2,13,3.96,4.69,2.72,11.17,10.89,5.92,71.0,0.03,3.84,5.41
2021,2,14,4.57,4.88,3.33,11.3,11.53,4.88,60.88,0.0,4.76,6.84
2021,2,15,3.77,4.72,1.95,11.97,12.37,6.59,73.56,0.06,2.8,3.77
2021,2,16,4.65,4.99,3.35,11.44,11.72,5.43,66.62,0.02,4.79,6.76
2021,2,17,5.17,5.16,3.02,10.9,11.23,4.33,55.88,0.0,4.46,6.45
2021,2,18,5.29,5.29,2.4,11.62,11.27,3.05,37.25,0.0,3.48,4.95
2021,2,19,5.11,5.14,1.45,13.88,12.97,4.58,46.44,0.0,2.13,2.88
2021,2,20,5.32,5.36,4.31,11.53,11.22,4.7,56.62,0.0,6.07,8.14
2021,2,21,5.52,5.52,3.13,12.63,12.32,3.3,38.44,0.0,4.71,7.05
2021,2,22,5.61,5.59,2.68,15.0,14.1,3.54,34.44,0.0,4.13,6.31
2021,2,23,5.48,5.46,1.45,16.47,15.34,4.82,42.5,0.0,2.27,3.16
2021,2,24,5.07,5.28,1.94,15.03,14.91,5.98,57.19,0.0,2.97,4.1
2021,2,25,5.67,5.66,4.11,12.62,12.35,2.44,28.19,0.0,6.07,8.19
2021,2,26,5.57,5.57,2.25,13.21,13.0,3.72,40.69,0.0,3.47,4.87
2021,2,27,5.58,5.58,3.58,13.19,13.26,4.46,48.81,0.0,5.12,7.23
2021,2,28,5.61,5.73,4.11,12.48,12.27,2.56,29.62,0.0,6.03,8.25
2021,3,1,5.81,5.88,2.66,12.87,12.3,3.17,35.56,0.0,3.9,5.37
2021,3,2,5.85,5.88,2.48,13.07,12.27,3.72,40.81,0.0,3.7,4.93
2021,3,3,2.6,5.44,2.25,9.62,8.94,6.35,82.0,4.78,3.06,3.75
2021,3,4,5.68,5.74,1.68,11.9,12.85,5.92,70.06,0.06,2.29,2.78
2021,3,5,5.95,5.95,1.86,15.25,14.58,5.13,50.31,0.0,2.76,3.64
2021,3,6,5.56,5.91,1.73,12.91,13.63,6.65,73.62,0.0,2.34,2.77
2021,3,7,2.8,5.75,1.34,11.08,11.96,6.65,79.81,0.36,1.88,2.27
2021,3,8,5.71,5.94,2.38,11.93,13.38,6.47,74.69,0.15,3.18,3.86
2021,3,9,6.0,6.11,3.31,10.48,11.57,5.19,66.75,0.29,4.43,5.41
2021,3,10,4.95,6.08,3.45,8.62,9.88,5.62,78.81,12.43,4.61,5.74
2021,3,11,5.64,6.11,1.47,7.4,8.98,4.94,75.44,7.31,1.92,2.25
2021,3,12,5.72,6.07,1.75,8.28,9.01,4.46,66.06,0.98,2.32,2.82
2021,3,13,5.48,6.0,2.02,10.21,10.88,5.19,68.38,0.02,2.66,3.21
2021,3,14,4.54,5.97,2.27,10.89,13.0,6.41,78.25,0.14,2.96,3.3
2021,3,15,5.82,6.31,4.34,9.23,10.37,5.07,69.12,5.29,5.78,7.24
2021,3,16,6.28,6.39,1.95,8.31,10.34,4.33,64.69,0.01,2.66,3.24
2021,3,17,5.81,6.39,1.66,11.05,11.44,4.88,60.94,0.01,2.21,2.51
2021,3,18,6.18,6.45,1.3,13.05,13.4,5.37,58.19,0.0,1.72,1.85
2021,3,19,5.52,6.37,2.02,14.37,15.01,7.32,70.75,0.06,2.76,3.37
2021,3,20,6.53,6.63,2.0,13.01,14.15,6.04,66.38,0.16,2.83,3.93
2021,3,21,6.57,6.62,2.2,11.73,12.87,4.27,52.94,0.0,3.27,5.1
2021,3,22,6.57,6.62,2.55,12.29,13.75,4.76,55.69,0.0,3.56,4.79
2021,3,23,6.49,6.55,2.91,12.37,13.15,5.49,62.94,0.04,4.11,5.82
2021,3,24,6.85,6.94,3.07,13.3,13.92,3.85,42.0,0.0,4.39,6.29
2021,3,25,4.69,6.46,3.36,10.11,11.96,6.35,79.88,0.17,4.55,5.36
2021,3,26,6.72,6.81,1.78,11.89,13.42,5.13,62.69,0.06,2.43,3.19
2021,3,27,6.99,7.01,1.69,15.4,15.32,4.03,40.94,0.0,2.56,3.71
2021,3,28,7.09,7.1,1.91,18.86,17.85,4.46,35.38,0.0,2.91,4.02
2021,3,29,6.84,6.99,1.84,17.99,17.57,5.37,44.44,0.0,2.76,3.58
2021,3,30,6.28,7.02,1.53,15.91,16.65,4.94,48.44,0.0,2.44,3.75
2021,3,31,7.02,7.29,2.55,18.59,17.77,3.42,27.62,0.0,4.04,6.15
