-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 03/31/2021 
Location: Latitude  50.1101   Longitude 8.5761 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 171.61 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
TS                    MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WS50M,TS
2021,1,1,0.42,1.08,0.85,-0.13,3.6,95.12,0.8,1.47,2.27,-1.62
2021,1,2,0.59,1.2,1.41,-1.37,3.17,92.94,0.02,2.59,4.47,-2.54
2021,1,3,0.35,0.99,2.02,-0.88,3.36,94.19,1.5,3.25,5.41,-1.36
2021,1,4,0.27,0.93,1.52,-0.98,3.36,94.12,0.4,2.68,4.81,-1.57
2021,1,5,0.4,0.98,2.25,-0.93,3.36,94.88,0.4,3.61,6.27,-1.46
2021,1,6,0.53,1.15,1.68,-0.41,3.48,94.31,0.9,2.91,5.19,-1.02
2021,1,7,0.48,1.31,1.94,-1.0,3.3,93.75,0.75,3.13,5.31,-1.51
2021,1,8,0.61,1.26,2.18,-0.76,3.48,95.69,2.4,3.47,5.52,-1.27
2021,1,9,0.72,1.34,1.4,-2.07,2.99,93.5,0.13,2.33,3.52,-3.15
2021,1,10,1.03,1.46,0.75,-2.31,2.62,84.06,0.0,1.16,1.6,-6.01
2021,1,11,0.84,1.33,2.46,-3.67,2.56,89.75,0.11,3.71,5.26,-5.19
2021,1,12,0.64,1.42,4.59,-0.47,3.54,94.88,7.92,6.8,9.77,-0.99
2021,1,13,0.76,1.41,3.05,-1.44,3.3,95.06,0.29,4.7,7.58,-2.04
